"g1_1","g1_2","g1_3","g1_4","g1_5","g1_6","g1_7","g1_8","g1_9","g1_10","g1_11","g1_12","g1_13","g1_14","g1_15","g1_16","g1_17","g1_18","g1_19","g1_20","g1_21","g2_1","g2_2","g2_3","g2_4","g2_5","g2_6","g2_7","g2_8","g2_9","g2_10","g2_11","g2_12","g2_13","g2_14","g2_15","g2_16","g2_17","g2_18","g2_19","g2_20","g2_21","c_1","c_2","c_3","c_4","c_5","c_6","c_7","c_8","c_9","c_10","c_11","c_12","c_13","c_14","c_15","c_16","c_17","c_18","c_19","c_20","c_21","c_22","c_23","c_24","c_25","c_26","c_27","c_28","target"
1.72,4,7,11,4,6,4,8,4,2,4,6,3.15423393528084,2.87592747226368,9.497024,5.473408,1.753728,1.10272,0.00722650328137646,0.00782837754922578,0.576328753091495,4.5,3,1,4,17,3,7,2,5,-4,-3,-7,2.19193973955034,2.41232779453695,3.644032,0.68384,1.771456,0.00818870101437408,0.00546167368764078,0.368566527494579,3.4,1.75,1,3,4,1,0,0,0,2.84412058482354,3,4,7,1,2,1,1,5,8,13,0.962294195730499,0.463599677726732,-0.017728,0.41888,0,-0.390015999999999,1.829376,0.207762225596916,1.95,"0"
2.2,18,18,36,13,15,16,17,21,-1,-4,-5,3.42894674324611,3.29660631177576,8.52302100345295,4.3053214026169,0.682714301821999,0.789259011456445,0.503460510444308,0.00206010155263519,0.505140301880364,3.2,20,14,34,15,21,24,16,22,-3,-6,-9,3.23810387397295,2.9640649898668,5.25233359277141,1.41953765052936,1.44553554038012,0.562626720780027,0.000149233255938778,0.610892274795232,3.2,2.08,0,0,0,0,0,1,0,0,4,-2,2,-7,0,-7,0,5,-1,4,0.190842869273157,0.33254132190896,-0.762821238558123,-0.630278639072916,0,-0.0747855321297219,-0.94701219015451,-0.105751972914868,1.68,"1"
1.25,40,31,71,2,34,11,20,10,23,10,33,5,4.89518559317581,14.959410068076,8.66680778223773,1.79027790617418,1.34588717172151,0.00927901388706474,0.818730753077982,0.579354917259276,13,21,13,34,16,22,25,12,23,-3,-11,-14,2.7253990430817,2.60473078029721,5.62159489597229,1.20599053574844,1.2832088948536,0.832374996944458,0.000889367519605198,0.490332668172058,5.5,1.75,7,0,7,0,1,1,0,2.93562074166419,27,10,37,11,-1,-5,-12,34,13,47,2.2746009569183,2.2904548128786,0.507069011320572,0.139896635973074,1,3.49455108380844,3.04521288626544,0.0890222490872176,1.99,"1"
1.16,30,20,50,3,37,10,19,7,27,12,39,5,4.8712540606719,13.4536865768005,5.15210330910006,2.22292409388005,1.28987100517078,0.0149934942461014,0.217621056865233,0.382951043172386,13,14,15,29,9,12,15,11,10,-3,1,-2,3.44381360921575,3.24422415277386,3.72729954225501,1.17347770018185,1.31871150657952,0.182658153102973,0.0122161064148434,0.327931386839002,7.5,1.44,4,0,4,0,1,0,0,0.895452338048771,15,6,21,27,-1,4,-5,26,15,41,1.55618639078425,1.62702990789804,0.90421258730053,0.116393304988934,0,2.08759082676194,1.42480376684505,0.0550196563333842,2.75,"1"
1.62,14,7,21,8,12,9,9,12,3,-3,0,3.13985882795633,2.88970089750135,11.6166743242506,6.33436072784036,1.60035131787837,1.16439051244667,0.101083784597687,0.0536646919127301,0.545281769207985,5.5,8,14,22,14,11,11,13,18,0,-5,-5,2.9691517882347,2.70642629096145,6.71509716450017,1.39566591260099,1.27508966198477,0.106858473243582,0.0473589243911409,0.522504330745354,4,1.61,-1,0,-1,0,0,0,0,1.19488378067534,0,-1,-1,-6,-4,-2,1,8,-3,5,0.170707039721626,0.183274606539896,0.325261655893606,-0.231275400154317,0,-1.23507975579894,-0.380736436659816,0.022777438462631,2.24,"2"
1.53,21,18,39,16,18,19,22,35,-1,-13,-14,2.95750703314559,3.10851281343673,9.01827837329778,4.71622303252836,0.965519237667591,1.90056390188857,0.945959468906765,1.34381227763152e-06,0.522962680603498,6,7,8,15,20,12,37,13,30,-25,-17,-42,1.97270898006991,1.98873987724669,4.24222897996798,0.814725814899179,1.83394798371314,0.0956344448325386,2.8044047382228e-14,0.530594641138303,3.8,1.95,2,-3,-1,0,0,0,0,2.45594785791006,13,11,24,-12,6,-15,23,16,12,28,0.984798053075685,1.11977293619004,-0.86842874604555,1.08583808698939,0,1.02304312013544,0.473994052560378,-0.00763196053480497,1.78,"1"
1.91,4,4,8,16,5,9,4,8,-4,-4,-8,2.23443213435542,2.45460420944857,12.5465965568,6.6142500864,0.8251159552,1.8729491456,0.0260308677961872,0.0061580198871689,0.527174844305902,4.33,4,1,5,20,5,8,1,9,-3,-8,-11,1.92942890400793,2.23248785288835,6.3744951296,0.3861856256,1.6933779456,0.0257611202973188,0.0018547599468555,0.556584912820254,3.3,1.96,-1,1,0,0,0,0,0,1.09131788646618,3,0,3,-4,8,-4,3,4,-1,3,0.305003230347492,0.222116356560219,-0.8682619904,1.48676352,0,1.093725696,0.239754956799998,-0.0294100685143529,1.82,"1"
2.5,15,8,23,19,15,14,17,37,1,-20,-19,2.36156636799659,2.21640359263489,11.8865748327769,3.66735593728835,1.18765348947338,1.54328353937087,0.604428302515435,0.00261890234836329,0.308529243190874,3.1,14,18,32,13,15,19,14,16,-4,-2,-6,3.04921315432609,3.28154471811991,3.31967709124954,1.03373519515094,2.02388207331288,0.485671785247712,0.0340474547345993,0.266596708564466,3.3,2.18,-2,-2,-4,0,0,0,0,3.74961445207704,-3,-6,-9,-1,0,-2,22,3,-16,-13,-0.6876467863295,-1.06514112548503,-0.836228583839496,0.50954834421993,0,-0.565480967629952,0.347678846038813,0.041932534626408,1.68,"0"
1.22,28,17,45,1,27,6,18,10,21,8,29,5,4.78169577123709,19.7304650484636,9.89946525534884,1.75605110534442,0.88809914508246,0.031904762042608,0.235746076555864,0.501735018968532,15,18,5,23,10,18,13,10,18,5,-8,-3,2.97721509429368,3.08857612366038,5.97285191676133,1.29510418235863,1.74427534316158,0.223006233375638,0.031904762042608,0.540922366852569,6,1.6,8,-9,-1,0,1,0,0,3.63547492402437,23,-1,22,9,-4,5,-8,29,3,32,2.02278490570632,1.69311964757671,0.0117757621828378,-0.407005037276168,0,8.68848881901837,3.92661333858751,-0.0391873478840377,2.23,"1"
6,19,8,27,17,20,19,6,24,1,-18,-17,2.52092205289878,2.61015104616324,9.74611327673041,4.81742252622561,0.813959912879731,1.65439967455929,0.726149037073691,1.84582339957806e-05,0.494291661654248,1.5,30,33,63,2,27,8,31,21,19,10,29,5,4.92089963933727,7.63372313480482,2.25302272014591,1.09268350413693,0.0165519724995186,0.235746076555864,0.469632025598939,4,1.89,-8,3,-5,0,0,0,1,1.00854373941887,-14,-22,-36,-1,-12,-2,-3,-9,-37,-46,-2.47907794710122,-2.31074859317403,-0.278723591257201,-0.598623045586612,0,-6.50857703121707,-2.81630060857921,0.0246596360553093,1.85,"2"
2.5,10,8,18,18,7,13,8,19,-6,-11,-17,2.20415313629365,2.30673896580955,7.45381689019369,3.14848948039083,0.975258189627381,1.79432315887587,0.32352715664172,0.0064414603638506,0.422399627838056,2.5,19,13,32,10,17,13,12,12,4,0,4,3.78277011216131,3.49575752246725,6.03178464096397,1.23854022629936,1.01682707520939,0.229415106961036,0.0765355454239115,0.47891866133067,3.2,1.9,1,2,3,0,0,1,0,1.6180926696608,-3,-11,-14,-5,1,-5,2,-6,-15,-21,-1.57861697586766,-1.1890185566577,-0.0415688855820072,0.555782932576516,0,-5.1407740664517,-2.88329516057315,-0.0565190334926145,1.7,"0"
3.5,33,11,44,11,26,17,12,37,9,-25,-16,3.13973738023957,3.04031370789966,11.9314128133515,7.39033849162047,1.03519511910523,1.12223806358979,0.7510748237679,0.00152616076664685,0.619401793168244,2.1,44,28,72,3,44,15,34,24,29,10,39,4.40517798532612,4.20050370334005,8.03187544704942,1.25542395808842,1.04465938198823,0.00384663878233776,0.831104283852126,0.573959191746463,3.4,1.8,-1,7,6,0,0,0,1,3.22360538038653,5,-33,-28,2,-17,-3,-7,-1,-54,-55,-1.26544060508655,-1.1601899954404,-0.00946426288299662,-0.133185894498623,0,-2.06239643745909,-0.641536955428945,0.0454426014217808,1.96,"1"
1.444,30,28,58,3,30,13,22,16,17,6,23,2.84195720690768,2.862550063003,14.8754048,7.152732672,1.250642432,1.8244608,0.0190525266138547,0.32465246735835,0.480842892557788,7.5,26,11,37,13,29,23,11,20,6,-9,-3,3.68018946642556,3.28335113660863,6.14612182228715,1.90542105208017,1.56828291095754,0.53407327933255,0.0010230161553565,0.580950790001937,4,1.65,9,-5,4,0,1,0,0,2.90028776949202,19,2,21,10,2,-1,-13,26,0,26,-0.838232259517877,-0.42080107360563,-0.317640478957543,-0.0809602520801675,0,4.29598580606652,1.00661084971285,-0.100107897444149,2.05,"1"
1.95,6,4,10,17,7,8,3,14,-1,-11,-12,2.16736411075727,2.2830505636695,9.4428588032,6.4031837847552,0.608159268864,1.6992327073792,0.0561347628341337,0.00923273461223162,0.678098012286839,4,7,2,9,19,9,10,7,13,-1,-6,-7,2.28427976889993,2.30095551373536,5.8099915145216,1.0751014141952,1.4636831711232,0.0553605026037546,0.00618888709030594,0.516915180180234,3.4,1.86,3,-1,2,0,0,0,0,1.4124278431697,4,-3,1,-6,1,-7,5,5,-10,-5,-0.116915658142669,-0.0179049500658621,-0.8555239022592,0.624131293184,0,-1.7968798179328,0.593192270233598,0.161182832106605,1.93,"1"
3.3,21,30,51,3,18,12,22,12,6,10,16,3.31551623160665,2.88413889668257,7.69504,4.16896,0.81472,0.1024,0.065874754426403,0.429557358210739,0.541772362456855,2.25,23,26,49,4,21,7,23,8,14,15,29,4.77369078587242,4.8362367117417,9.04166002166865,0.983521422269375,0.886991861436695,0.065874754426403,0.429557358210739,0.554988208285841,3.3,2.18,0,9,9,1,0,0,1,1.98092767897291,-5,7,2,10,-11,15,-9,-9,-4,-13,-1.45817455426577,-1.95209781505913,-0.0722718614366946,-0.881121422269375,-1,-8.59658545560218,-4.87270002166865,-0.0132158458289857,1.62,"2"
1.57,19,17,36,6,17,12,18,14,5,4,9,3.97808287689885,3.63059927090038,12.6980751809321,7.54486334142725,1.57990539734902,1.21751116790239,0.12729475196439,0.0457300339002183,0.594173780980358,6.5,15,14,29,10,19,17,12,9,2,3,5,3.50323866255832,3.38195499914712,8.27540068471118,1.40900082119835,1.20341169503008,0.196474579545458,0.0306537584292056,0.596291293506157,4.2,1.71,2,-2,0,0,0,0,0,2.04119875667266,5,2,7,8,0,1,-5,2,2,4,0.47484421434053,0.248644271753252,0.376493702318939,-0.191489653295955,0,-1.18004240158759,-0.730537343283933,-0.00211751252579873,2.12,"0"
3,11,2,13,19,15,19,8,21,-4,-13,-17,1.93940378412929,2.00214066100669,6.85799042630287,3.58889370597296,0.830041206478583,1.77437424717499,0.254919988013786,0.000426456580685654,0.523315648299574,2.5,22,11,33,7,17,9,12,18,8,-6,2,3.69504345841979,3.64048570856678,7.57684446500762,1.04875652736451,1.46565735243573,0.12729475196439,0.0773047404432998,0.584496259396838,3.4,1.82,1,1,2,0,0,0,0,1.46425005629025,0,-20,-20,-3,7,-1,4,2,-21,-19,-1.7556396742905,-1.6383450475601,-0.635616145957148,0.725617719810474,0,-6.10504285782187,-3.98795075903466,-0.0611806110972634,1.97,"1"
1.667,7,1,8,7,6,2,1,3,4,-2,2,2.84051056722395,2.67175859251836,6.009216,3.38464,0.94624,0.69184,0.00793676117032151,0.00683977802745994,0.56324152768015,4.5,6,2,8,16,5,2,3,5,3,-2,1,2.82971424997398,2.53521410046019,3.209536,1.2784,0.763392,0.00818870101437408,0.00546167368764078,0.478210702978983,3.4,1.9,1,1,2,0,0,0,0,2.20117536033025,5,-5,0,1,-1,-1,-2,6,-5,1,0.0107963172499712,0.136544492058174,0.182848,-0.58656,0,-0.702336000000002,0.175103999999999,0.0850308247011669,1.7,"1"
5,11,13,24,20,19,43,19,36,-24,-17,-41,1.27264133734981,1.39684799287575,10.7392932359646,6.3925482004515,1.20997474531987,2.56299395918432,0.653678990076159,1.51540199038408e-08,0.5952485009948,1.7,30,22,52,7,25,14,22,25,11,-3,8,4.7940969468306,4.27363941565178,6.75586732135657,2.30606393173758,1.10229536189408,0.364775850513967,0.00594621735647209,0.530130543097729,3.75,1.66,0,1,1,0,0,0,0,1.19131114056824,-11,-17,-28,-6,21,5,11,-21,-28,-49,-3.52145560948079,-2.87679142277603,0.107679383425791,0.25693002744674,0,-2.00448734660626,-0.363319120905068,0.0651179578970706,2.14,"0"
1.75,15,13,28,4,18,3,9,6,15,3,18,4.58504847615926,3.7345312062662,14.869420560384,5.596668801024,2.309323952128,0.346936049664,0.0222468343798347,0.0430669240468309,0.376387820782673,5.25,14,10,24,5,9,4,9,4,5,5,10,3.67234778579563,3.37984125601219,5.035246657536,1.447508619264,0.866372214784,0.0310479584793296,0.0366992118363865,0.329956125589075,3.8,1.8,9,1,10,0,0,1,1,0.174634454905094,5,-1,4,14,-6,5,-3,10,-2,8,0.912700690363629,0.354689950254008,1.442951737344,-1.1005725696,0,-0.390931550207997,0.561422143488,0.0464316951935975,2.01,"1"
2.25,12,17,29,8,17,14,7,5,3,2,5,3.63824516507162,3.23085200833301,13.2987224919401,8.70875267667484,1.7621100384522,0.823004949010648,0.131098601518782,0.0259911287787553,0.654856335407624,3.1,22,18,40,3,13,10,10,7,3,3,6,4.22552211791301,3.97229387142173,3.98043128633602,0.986041990063682,0.926103240282535,0.0269131870149958,0.196911675204194,0.502852885176983,3.2,2.05,7,-2,5,0,0,0,0,3.43256331890207,-6,-5,-11,10,4,-3,-8,0,-1,-1,-0.587276952841385,-0.74144186308872,0.836006798169662,-0.163037041053034,0,5.38302507094376,4.72832139033883,0.152003450230641,1.65,"1"
2.7,0,1,1,18,0,2,0,2,-2,-2,-4,2.28252767489712,2.40265335390947,4.768,0.976,0,0.576,0.00308871540823677,0.00206010155263519,0.204697986577181,3,4,3,7,6,2,1,1,0,1,1,2,2.8465,2.6491,1.328,0.488,0.2,0.00283190526437392,0.00295280415237345,0.249249249249249,3.1,2.6,1,1,2,0,0,0,0,2.50008865489726,-3,-3,-6,0,1,-1,0,-3,-3,-6,-0.56397232510288,-0.246446646090535,-0.2,0.088,0,-0.56,-0.352,-0.044551262672068,1.49,"1"
1.44,32,18,50,3,26,5,20,13,21,7,28,4.88920208201174,4.7423859999814,14.019739419756,4.59173816659725,1.52789972997654,0.829318215381253,0.0262486980599976,0.32465246735835,0.327519508681223,7.5,20,12,32,12,16,15,14,21,1,-7,-6,3.22728573996836,2.97809390097107,3.86795065194979,1.15180898018379,1.03839864959283,0.389760737301285,0.00540732912644096,0.369525262779987,5,1.65,3,-4,-1,1,1,0,0,2.52371871188708,20,-2,18,5,-9,5,-3,28,6,34,1.66191634204338,1.76429209901033,0.489501080383711,-0.32249076480254,0,3.55238835733961,0.723787514647463,-0.0420057540987642,2.23,"1"
8,8,3,11,20,7,7,4,17,0,-13,-13,2.01235950205842,2.15827788514577,8.19024319366116,4.73866716396703,0.39187555647855,1.3099217529859,0.138742041176777,0.000252272677974128,0.578574659130332,1.4,17,13,30,3,18,6,11,9,12,2,14,4.17284887374934,3.86488310035114,5.86311336030477,1.56600612566703,1.03218864652655,0.0914643906606741,0.0533970381451971,0.496502051714453,4.2,1.88,-3,3,0,0,0,0,1,0.307846767923589,-5,-14,-19,-2,-4,-2,-1,-2,-25,-27,-2.16048937169092,-1.70660521520537,-0.640313090048,-0.25608437268113,0,-3.61859695122658,-1.12444619633774,0.0820726074158788,1.83,"2"
3.1,31,20,51,7,30,23,20,22,7,-2,5,4.5075010859546,4.19213978754077,12.8488673861318,6.91111073029987,1.27042646271918,0.963103411664389,0.606530659712633,0.0340474547345993,0.537877037921587,2.38,45,26,71,2,39,13,30,19,26,11,37,4.88603981748195,4.93575408255727,9.6183987488568,1.97447459158773,1.16089635975029,0.0355503401147811,0.782704538241868,0.558240531996757,3.25,1.78,-2,9,7,0,0,0,1,3.39601029659334,5,-25,-20,11,-7,7,-17,-4,-28,-32,-0.378538731527348,-0.743614295016505,0.109530102968893,-1.01137117992334,0,-4.38097924369455,-2.70728801855693,-0.0203634940751697,2,"1"
2.25,1,0,1,16,1,1,1,3,0,-2,-2,2.35943494137997,2.46068698827599,3.456,1.48,0.288,0.648,0.00308871540823677,0.00272578178073426,0.428240740740741,3.1,6,0,6,9,5,1,1,4,4,-3,1,2.7906875,2.5371775,3.88,1.048,0.672,0.00304611311719969,0.00257991197202718,0.714285714285714,3.2,1.85,1,-1,0,0,0,0,0,2.99819169763393,1,-6,-5,-3,0,0,-2,3,-6,-3,-0.431252558620026,-0.0764905117240056,-0.384,-0.4,0,-1.976,-2.4,-0.286044973544974,1.85,"1"
2.6,9,4,13,13,10,8,5,11,2,-6,-4,2.7090435488396,2.78903183611875,9.964837376,4.95391760384,0.83133188096,1.50351382528,0.0329999246781026,0.0127783876495358,0.497139834491565,2.8,5,10,15,11,6,11,9,8,-5,1,-4,2.77745740723251,2.54923855301953,5.0791776256,1.08156348416,1.11078703104,0.0329999246781026,0.0127783876495358,0.535329349705895,3.25,1.94,-6,4,-2,0,0,1,0,3.55970100667373,-1,-1,-2,2,-1,-6,5,1,-1,0,-0.0684138583929124,0.239793283099229,-0.27945515008,0.42195034112,0,0.476888268800002,-0.125260021760001,-0.0381895152143299,1.8,"2"
3.3,15,4,19,12,11,7,6,23,4,-17,-13,2.45272127372162,2.46734603476526,9.80960545838465,5.18546636651102,0.686220671379047,1.22712256948732,0.131171454310194,0.0267826764926382,0.528611103525963,2.2,18,12,30,7,24,8,14,14,16,0,16,4.27079813745923,3.85797831370518,9.93596244632666,2.15469182270439,1.01201984004555,0.088909268092354,0.0581342667398215,0.559818310822027,3.4,1.81,-3,4,1,0,0,0,0,3.22325212368502,3,-14,-11,-3,-7,-2,-1,4,-33,-29,-1.81807686373761,-1.39063227893992,-0.325799168666501,-0.927569253217075,0,-7.9389430514647,-4.75049607981564,-0.0312072072960635,1.93,"2"
1.44,14,16,30,7,18,10,14,8,8,6,14,4.04919371646375,3.59200975534273,14.3479093035286,9.17355825628866,1.92942002374574,0.990449289658368,0.0997588006536186,0.0533970381451971,0.639365503518523,7,16,4,20,15,12,12,8,14,0,-6,-6,2.64345513999245,2.58281501467995,7.69583980261828,1.11038432636908,1.37900451148438,0.162205879598978,0.00722650328137646,0.504806084700992,4.5,1.62,12,-5,7,0,1,1,0,3.74025959102734,10,0,10,4,2,2,-4,14,6,20,1.40573857647129,1.00919474066278,0.550415512261361,-0.119935036710715,1,-0.897231426454288,1.47771845367038,0.134559418817531,2.27,"1"
2,26,13,39,11,23,20,14,30,3,-16,-13,3.1127791339801,3.12967753416455,10.2549597577759,3.24638876452082,0.912015264410266,1.48690123550662,0.843664816596384,0.0014663191470429,0.316567674686311,3.6,22,16,38,14,18,27,26,32,-9,-6,-15,2.92448155997124,2.89714566460373,3.85235689865151,1.08178843029474,1.48161419805192,0.904334870191044,0.000699601269649103,0.315102744425837,3.5,1.87,0,0,0,0,0,1,0,2.65090435876532,10,-9,1,-9,-6,-13,12,9,-7,2,0.188297574008861,0.232531869560813,-0.569598933641651,0.405112805211882,0,-1.97075698636437,-0.605968134130686,0.00146493026047478,1.94,"0"
4.5,17,13,30,19,17,18,22,39,-1,-17,-18,2.69933217336241,2.44593541510625,13.3808262729635,3.66595135482452,1.22672823634451,1.03995452014484,0.873230648767056,3.6984930946275e-05,0.273970476862982,1.8,31,29,60,4,24,11,32,23,13,9,22,4.89174077429925,4.90001632294628,5.96179581438245,2.00634540148734,1.28743814476846,0.060675079189861,0.396531419074993,0.38951733757745,4,1.73,-7,8,1,0,0,0,1,3.59484580600073,-12,-18,-30,-6,-14,11,15,-10,-30,-40,-2.19240860093685,-2.45408090784003,-0.0607099084239466,-0.966390881342504,0,-1.92477180762782,-2.29584445955793,-0.115546860714468,2.09,"0"
1.9,21,27,48,8,20,22,19,21,-2,-2,-4,2.80884709619818,2.76903177159232,11.2721865377382,4.97715233439744,0.974028869632,1.44450547662848,0.272948479272086,0.00101791384099544,0.441542758162704,3.6,21,18,39,16,18,18,19,29,0,-10,-10,3.19857210491807,3.17474915427512,5.47699811040695,0.995154761069514,1.47766387087611,0.904334870191044,5.84455558086657e-06,0.576256189517575,3.25,2.03,-3,-3,-6,0,0,0,0,1.29241273717416,3,6,9,-9,3,1,3,8,-2,6,-0.389725008719891,-0.405717382682802,-0.503635001244114,0.449350715558966,0,1.76773658989101,-0.499845776009514,-0.134713431354871,1.72,"1"
